Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733823960910;(1479.7, 138.1);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823961212;(1431.1, 130.4);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733823963210;(1154.4, 212.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823963727;(1162.2, 203.8);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823963728;(1162.2, 203.8);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823964495;(836.0, 178.2);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823966511;(1419.1, 145.8);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823966511;(1419.1, 145.8);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823967028;(1429.7, 143.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823967028;(1429.7, 143.2);YellowPurpleFlowers;Appear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823967361;(1435.1, 139.1);Mouse Click;Incorrect;Distractor clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823967794;(1434.3, 139.8);YellowPurpleFlowers;Disappear;Distractor;(1266.9, 127.8);;(1253.7, 264.9);527;425
1733823969810;(1145.9, 320.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823970311;(1402.9, 231.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823970312;(1402.9, 231.4);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823971078;(1432.4, 219.4);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823973094;(1336.4, 284.2);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823973094;(1336.4, 284.2);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823973594;(1322.5, 284.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823973595;(1322.5, 284.3);Mushroom;Appear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823974161;(741.5, 142.0);Mouse Click;Correct;Target clicked;(971.0, 173.0);;(971.0, 173.0);0;0
1733823974360;(736.0, 153.1);Mushroom;Disappear;Target;(651.4, 196.4);;(664.6, 208.5);265;304
1733823976378;(1055.8, 181.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823976894;(1287.7, 236.5);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823976895;(1287.7, 236.5);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823977644;(1450.0, 209.8);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823979660;(1273.5, 200.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823979660;(1273.5, 200.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823980160;(1377.5, 163.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823980162;(1377.5, 163.3);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823980912;(1544.3, -69.0);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823982928;(1363.7, 221.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823982928;(1363.7, 221.3);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823983444;(1279.5, 215.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823983444;(1279.5, 215.3);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823984195;(788.3, 204.3);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733823986194;(1192.0, 223.3);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823986194;(1192.0, 223.3);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823986710;(1402.2, 255.8);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823986712;(1402.2, 255.8);BlueFlowers;Appear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823987479;(1462.7, 159.4);BlueFlowers;Disappear;Distractor;(1266.9, 130.0);;(1292.4, 244.7);495;416
1733823989494;(1305.9, 276.8);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823989494;(1305.9, 276.8);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823989995;(1199.4, 251.7);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733823989995;(1199.4, 251.7);YellowPurpleFlowers;Appear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823990761;(795.9, 197.4);YellowPurpleFlowers;Disappear;Distractor;(651.9, 131.2);;(657.2, 265.7);408;416
1733823992778;(1253.9, 276.7);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733823992778;(1253.9, 276.7);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733823993294;(1248.6, 269.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
